condition,list,image_selection,list_LSQ_variant,blockID,block,item,instance,category,phase,labelling,mean,sd,VOT,VOT_continuous
Shift0,A,forward,B,B,6,diptip,8,/t/,exposure,labeled,50,16.431676725154983,45,56.43553133082773
Shift0,A,forward,B,B,6,flare,1,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,B,B,6,flare,2,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,B,B,6,rare,1,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,B,B,6,rare,2,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,B,B,6,share,1,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,B,B,6,share,2,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,B,C,2,dilltill,1,/d/,exposure,unlabeled,5,8.94427190999916,5,6.432930356042059
Shift0,A,forward,B,C,2,dilltill,1,/t/,exposure,labeled,50,16.431676725154983,50,32.905602061691994
Shift0,A,forward,B,C,2,dilltill,2,/d/,exposure,labeled,5,8.94427190999916,20,0.8662051815092671
Shift0,A,forward,B,C,2,dilltill,2,/t/,exposure,unlabeled,50,16.431676725154983,45,58.20471526967313
Shift0,A,forward,B,C,2,dilltill,3,/d/,exposure,unlabeled,5,8.94427190999916,-15,-3.5070392094091982
Shift0,A,forward,B,C,2,dilltill,3,/t/,exposure,unlabeled,50,16.431676725154983,55,60.06914341243351
Shift0,A,forward,B,C,2,dilltill,4,/d/,exposure,labeled,5,8.94427190999916,-5,8.368679930035375
Shift0,A,forward,B,C,2,dilltill,4,/t/,exposure,unlabeled,50,16.431676725154983,85,49.83698811963935
Shift0,A,forward,B,C,2,dilltill,5,/d/,exposure,unlabeled,5,8.94427190999916,5,14.621594619481474
Shift0,A,forward,B,C,2,dilltill,5,/t/,exposure,unlabeled,50,16.431676725154983,35,57.9630492700627
Shift0,A,forward,B,C,2,dilltill,6,/d/,exposure,labeled,5,8.94427190999916,-5,0.7655117556394933
Shift0,A,forward,B,C,2,dilltill,6,/t/,exposure,labeled,50,16.431676725154983,70,40.13894111985245
Shift0,A,forward,B,C,2,dilltill,7,/d/,exposure,unlabeled,5,8.94427190999916,15,1.9600826560507123
Shift0,A,forward,B,C,2,dilltill,7,/t/,exposure,labeled,50,16.431676725154983,25,55.14295258741764
Shift0,A,forward,B,C,2,dilltill,8,/d/,exposure,labeled,5,8.94427190999916,5,4.228899387342696
Shift0,A,forward,B,C,2,dilltill,8,/t/,exposure,labeled,50,16.431676725154983,60,48.119437639006094
Shift0,A,forward,B,C,2,dintin,1,/d/,exposure,labeled,5,8.94427190999916,10,3.091222371082905
Shift0,A,forward,B,C,2,dintin,1,/t/,exposure,unlabeled,50,16.431676725154983,30,49.315298119393304
Shift0,A,forward,B,C,2,dintin,2,/d/,exposure,unlabeled,5,8.94427190999916,10,5.647276472485789
Shift0,A,forward,B,C,2,dintin,2,/t/,exposure,labeled,50,16.431676725154983,50,61.74159265949403
Shift0,A,forward,B,C,2,dintin,3,/d/,exposure,labeled,5,8.94427190999916,-5,0.8689702545052373
Shift0,A,forward,B,C,2,dintin,3,/t/,exposure,labeled,50,16.431676725154983,55,47.085121454483684
Shift0,A,forward,B,C,2,dintin,4,/d/,exposure,labeled,5,8.94427190999916,10,-0.04974035909354768
Shift0,A,forward,B,C,2,dintin,4,/t/,exposure,labeled,50,16.431676725154983,35,51.66297344901941
Shift0,A,forward,B,C,2,dintin,5,/d/,exposure,labeled,5,8.94427190999916,5,3.602773642530904
Shift0,A,forward,B,C,2,dintin,5,/t/,exposure,unlabeled,50,16.431676725154983,50,63.47682822525032
Shift0,A,forward,B,C,2,dintin,6,/d/,exposure,unlabeled,5,8.94427190999916,10,-20.506983462623502
Shift0,A,forward,B,C,2,dintin,6,/t/,exposure,unlabeled,50,16.431676725154983,70,79.76400582294274
Shift0,A,forward,B,C,2,dintin,7,/d/,exposure,unlabeled,5,8.94427190999916,5,0.8280068300495591
Shift0,A,forward,B,C,2,dintin,7,/t/,exposure,unlabeled,50,16.431676725154983,50,81.18063797578276
Shift0,A,forward,B,C,2,dintin,8,/d/,exposure,unlabeled,5,8.94427190999916,0,4.562823948122791
Shift0,A,forward,B,C,2,dintin,8,/t/,exposure,labeled,50,16.431676725154983,30,56.469018301078954
Shift0,A,forward,B,C,2,diptip,1,/d/,exposure,labeled,5,8.94427190999916,-5,3.00160832757218
Shift0,A,forward,B,C,2,diptip,1,/t/,exposure,unlabeled,50,16.431676725154983,40,51.24320187923121
Shift0,A,forward,B,C,2,diptip,2,/d/,exposure,unlabeled,5,8.94427190999916,0,14.099132458029862
Shift0,A,forward,B,C,2,diptip,2,/t/,exposure,labeled,50,16.431676725154983,70,62.92893647048919
Shift0,A,forward,B,C,2,diptip,3,/d/,exposure,unlabeled,5,8.94427190999916,-20,25.21763672060381
Shift0,A,forward,B,C,2,diptip,3,/t/,exposure,unlabeled,50,16.431676725154983,45,31.215354272806053
Shift0,A,forward,B,C,2,diptip,4,/d/,exposure,unlabeled,5,8.94427190999916,10,3.7728561451707616
Shift0,A,forward,B,C,2,diptip,4,/t/,exposure,labeled,50,16.431676725154983,30,30.199334131464457
Shift0,A,forward,B,C,2,diptip,5,/d/,exposure,labeled,5,8.94427190999916,5,2.2642443779156087
Shift0,A,forward,B,C,2,diptip,5,/t/,exposure,labeled,50,16.431676725154983,40,58.28556297879289
Shift0,A,forward,B,C,2,diptip,6,/d/,exposure,unlabeled,5,8.94427190999916,-5,12.259322045886268
Shift0,A,forward,B,C,2,diptip,6,/t/,exposure,unlabeled,50,16.431676725154983,50,41.76753239986752
Shift0,A,forward,B,C,2,diptip,7,/d/,exposure,labeled,5,8.94427190999916,10,-12.233586780857852
Shift0,A,forward,B,C,2,diptip,7,/t/,exposure,labeled,50,16.431676725154983,55,49.832223249699574
Shift0,A,forward,B,C,2,diptip,8,/d/,exposure,labeled,5,8.94427190999916,0,16.213727347547493
Shift0,A,forward,B,C,2,diptip,8,/t/,exposure,unlabeled,50,16.431676725154983,65,56.49837052068382
Shift0,A,forward,B,C,2,flare,1,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,B,C,2,flare,2,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,B,C,2,rare,1,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,B,C,2,rare,2,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,B,C,2,share,1,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,B,C,2,share,2,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,C,A,6,dilltill,1,/d/,exposure,unlabeled,5,8.94427190999916,15,-3.9916414961449185
Shift0,A,forward,C,A,6,dilltill,1,/t/,exposure,unlabeled,50,16.431676725154983,65,36.91232812361658
Shift0,A,forward,C,A,6,dilltill,2,/d/,exposure,labeled,5,8.94427190999916,-5,41.10934587209972
Shift0,A,forward,C,A,6,dilltill,2,/t/,exposure,labeled,50,16.431676725154983,75,69.07727549211941
Shift0,A,forward,C,A,6,dilltill,3,/d/,exposure,unlabeled,5,8.94427190999916,5,6.813558138753878
Shift0,A,forward,C,A,6,dilltill,3,/t/,exposure,labeled,50,16.431676725154983,45,44.7404472382856
Shift0,A,forward,C,A,6,dilltill,4,/d/,exposure,labeled,5,8.94427190999916,5,12.10594112264301
Shift0,A,forward,C,A,6,dilltill,4,/t/,exposure,unlabeled,50,16.431676725154983,60,70.43536763905219
Shift0,A,forward,C,A,6,dilltill,5,/d/,exposure,labeled,5,8.94427190999916,-5,-0.23236688578178555
Shift0,A,forward,C,A,6,dilltill,5,/t/,exposure,labeled,50,16.431676725154983,65,15.611739979691137
Shift0,A,forward,C,A,6,dilltill,6,/d/,exposure,unlabeled,5,8.94427190999916,-5,8.134478689793667
Shift0,A,forward,C,A,6,dilltill,6,/t/,exposure,labeled,50,16.431676725154983,55,57.47640032986096
Shift0,A,forward,C,A,6,dilltill,7,/d/,exposure,unlabeled,5,8.94427190999916,-5,4.619449770485754
Shift0,A,forward,C,A,6,dilltill,7,/t/,exposure,unlabeled,50,16.431676725154983,50,71.84355397314312
Shift0,A,forward,C,A,6,dilltill,8,/d/,exposure,labeled,5,8.94427190999916,15,3.178186923084908
Shift0,A,forward,C,A,6,dilltill,8,/t/,exposure,unlabeled,50,16.431676725154983,60,49.2597940786704
Shift0,A,forward,C,A,6,dintin,1,/d/,exposure,unlabeled,5,8.94427190999916,10,8.750601076708229
Shift0,A,forward,C,A,6,dintin,1,/t/,exposure,unlabeled,50,16.431676725154983,45,38.81387146504745
Shift0,A,forward,C,A,6,dintin,2,/d/,exposure,labeled,5,8.94427190999916,5,1.6777521388232715
Shift0,A,forward,C,A,6,dintin,2,/t/,exposure,unlabeled,50,16.431676725154983,50,49.89773789883382
Shift0,A,forward,C,A,6,dintin,3,/d/,exposure,unlabeled,5,8.94427190999916,0,2.9577250755648787
Shift0,A,forward,C,A,6,dintin,3,/t/,exposure,labeled,50,16.431676725154983,75,55.10662382891776
Shift0,A,forward,C,A,6,dintin,4,/d/,exposure,unlabeled,5,8.94427190999916,5,8.922697789613698
Shift0,A,forward,C,A,6,dintin,4,/t/,exposure,unlabeled,50,16.431676725154983,40,56.71940657661807
Shift0,A,forward,C,A,6,dintin,5,/d/,exposure,labeled,5,8.94427190999916,5,21.10571394973034
Shift0,A,forward,C,A,6,dintin,5,/t/,exposure,labeled,50,16.431676725154983,60,51.992125575666265
Shift0,A,forward,C,A,6,dintin,6,/d/,exposure,labeled,5,8.94427190999916,0,3.568128416502333
Shift0,A,forward,C,A,6,dintin,6,/t/,exposure,unlabeled,50,16.431676725154983,45,39.96780346428473
Shift0,A,forward,C,A,6,dintin,7,/d/,exposure,labeled,5,8.94427190999916,0,0.8018912925376007
Shift0,A,forward,C,A,6,dintin,7,/t/,exposure,labeled,50,16.431676725154983,70,40.774954468456556
Shift0,A,forward,C,A,6,dintin,8,/d/,exposure,unlabeled,5,8.94427190999916,5,23.954236410914163
Shift0,A,forward,C,A,6,dintin,8,/t/,exposure,labeled,50,16.431676725154983,40,43.26988160828766
Shift0,A,forward,C,A,6,diptip,1,/d/,exposure,labeled,5,8.94427190999916,20,9.007451744586518
Shift0,A,forward,C,A,6,diptip,1,/t/,exposure,unlabeled,50,16.431676725154983,20,37.35538877168388
Shift0,A,forward,C,A,6,diptip,2,/d/,exposure,unlabeled,5,8.94427190999916,0,-2.1132022566420394
Shift0,A,forward,C,A,6,diptip,2,/t/,exposure,labeled,50,16.431676725154983,50,42.07483588604697
Shift0,A,forward,C,A,6,diptip,3,/d/,exposure,unlabeled,5,8.94427190999916,10,11.23934787066261
Shift0,A,forward,C,A,6,diptip,3,/t/,exposure,labeled,50,16.431676725154983,45,58.36403495841833
Shift0,A,forward,C,A,6,diptip,4,/d/,exposure,labeled,5,8.94427190999916,10,7.099667126107562
Shift0,A,forward,C,A,6,diptip,4,/t/,exposure,unlabeled,50,16.431676725154983,50,27.208157961570535
Shift0,A,forward,C,A,6,diptip,5,/d/,exposure,unlabeled,5,8.94427190999916,0,5.230306810400844
Shift0,A,forward,C,A,6,diptip,5,/t/,exposure,labeled,50,16.431676725154983,50,51.77717935866972
Shift0,A,forward,C,A,6,diptip,6,/d/,exposure,labeled,5,8.94427190999916,-10,10.299548986107926
Shift0,A,forward,C,A,6,diptip,6,/t/,exposure,unlabeled,50,16.431676725154983,65,27.35757095805306
Shift0,A,forward,C,A,6,diptip,7,/d/,exposure,unlabeled,5,8.94427190999916,20,8.859227957837785
Shift0,A,forward,C,A,6,diptip,7,/t/,exposure,unlabeled,50,16.431676725154983,55,79.29631205298153
Shift0,A,forward,C,A,6,diptip,8,/d/,exposure,labeled,5,8.94427190999916,-5,18.075916962930858
Shift0,A,forward,C,A,6,diptip,8,/t/,exposure,labeled,50,16.431676725154983,35,40.40299760883727
Shift0,A,forward,C,A,6,flare,1,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,C,A,6,flare,2,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,C,A,6,rare,1,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,C,A,6,rare,2,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,C,A,6,share,1,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,C,A,6,share,2,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,C,B,2,dilltill,1,/d/,exposure,unlabeled,5,8.94427190999916,5,15.995935809702138
Shift0,A,forward,C,B,2,dilltill,1,/t/,exposure,unlabeled,50,16.431676725154983,50,50.66224464586832
Shift0,A,forward,C,B,2,dilltill,2,/d/,exposure,labeled,5,8.94427190999916,20,-1.728928286668661
Shift0,A,forward,C,B,2,dilltill,2,/t/,exposure,labeled,50,16.431676725154983,45,52.15518184762077
Shift0,A,forward,C,B,2,dilltill,3,/d/,exposure,labeled,5,8.94427190999916,10,11.035847413218601
Shift0,A,forward,C,B,2,dilltill,3,/t/,exposure,unlabeled,50,16.431676725154983,50,31.657905852629668
Shift0,A,forward,C,B,2,dilltill,4,/d/,exposure,unlabeled,5,8.94427190999916,-5,0.3720834455759032
Shift0,A,forward,C,B,2,dilltill,4,/t/,exposure,labeled,50,16.431676725154983,70,50.982812226831776
Shift0,A,forward,C,B,2,dilltill,5,/d/,exposure,labeled,5,8.94427190999916,10,9.611421540517128
Shift0,A,forward,C,B,2,dilltill,5,/t/,exposure,unlabeled,50,16.431676725154983,30,30.514380688007737
Shift0,A,forward,C,B,2,dilltill,6,/d/,exposure,unlabeled,5,8.94427190999916,5,4.706338292043938
Shift0,A,forward,C,B,2,dilltill,6,/t/,exposure,labeled,50,16.431676725154983,50,54.58064499529221
Shift0,A,forward,C,B,2,dilltill,7,/d/,exposure,labeled,5,8.94427190999916,0,2.49361175799081
Shift0,A,forward,C,B,2,dilltill,7,/t/,exposure,labeled,50,16.431676725154983,35,36.60685419625182
Shift0,A,forward,C,B,2,dilltill,8,/d/,exposure,unlabeled,5,8.94427190999916,5,6.93288121160582
Shift0,A,forward,C,B,2,dilltill,8,/t/,exposure,unlabeled,50,16.431676725154983,40,53.47851943969659
Shift0,A,forward,C,B,2,dintin,1,/d/,exposure,unlabeled,5,8.94427190999916,15,-3.6645187544658064
Shift0,A,forward,C,B,2,dintin,1,/t/,exposure,labeled,50,16.431676725154983,35,78.7577796877459
Shift0,A,forward,C,B,2,dintin,2,/d/,exposure,unlabeled,5,8.94427190999916,-10,-1.7215950400411604
Shift0,A,forward,C,B,2,dintin,2,/t/,exposure,labeled,50,16.431676725154983,45,61.788862801032394
Shift0,A,forward,C,B,2,dintin,3,/d/,exposure,labeled,5,8.94427190999916,10,-9.22394125809396
Shift0,A,forward,C,B,2,dintin,3,/t/,exposure,labeled,50,16.431676725154983,40,38.16406247356067
Shift0,A,forward,C,B,2,dintin,4,/d/,exposure,labeled,5,8.94427190999916,-5,11.104127484337688
Shift0,A,forward,C,B,2,dintin,4,/t/,exposure,unlabeled,50,16.431676725154983,50,76.16149084612977
Shift0,A,forward,C,B,2,dintin,5,/d/,exposure,labeled,5,8.94427190999916,-5,6.723335773017661
Shift0,A,forward,C,B,2,dintin,5,/t/,exposure,unlabeled,50,16.431676725154983,45,40.37789929836764
Shift0,A,forward,C,B,2,dintin,6,/d/,exposure,unlabeled,5,8.94427190999916,0,-13.06146688910367
Shift0,A,forward,C,B,2,dintin,6,/t/,exposure,labeled,50,16.431676725154983,65,1.4134742589630278
Shift0,A,forward,C,B,2,dintin,7,/d/,exposure,labeled,5,8.94427190999916,-20,7.799626968514916
Shift0,A,forward,C,B,2,dintin,7,/t/,exposure,unlabeled,50,16.431676725154983,40,74.63657585876231
Shift0,A,forward,C,B,2,dintin,8,/d/,exposure,unlabeled,5,8.94427190999916,-10,-1.583109004633208
Shift0,A,forward,C,B,2,dintin,8,/t/,exposure,unlabeled,50,16.431676725154983,50,68.04248520937125
Shift0,A,forward,C,B,2,diptip,1,/d/,exposure,unlabeled,5,8.94427190999916,5,-15.753261692573389
Shift0,A,forward,C,B,2,diptip,1,/t/,exposure,unlabeled,50,16.431676725154983,45,49.038768036381555
Shift0,A,forward,C,B,2,diptip,2,/d/,exposure,unlabeled,5,8.94427190999916,0,6.268455871309637
Shift0,A,forward,C,B,2,diptip,2,/t/,exposure,labeled,50,16.431676725154983,45,52.772302565786724
Shift0,A,forward,C,B,2,diptip,3,/d/,exposure,unlabeled,5,8.94427190999916,5,6.336632024048347
Shift0,A,forward,C,B,2,diptip,3,/t/,exposure,unlabeled,50,16.431676725154983,35,33.41379568651668
Shift0,A,forward,C,B,2,diptip,4,/d/,exposure,labeled,5,8.94427190999916,0,10.642138680274714
Shift0,A,forward,C,B,2,diptip,4,/t/,exposure,labeled,50,16.431676725154983,70,44.17279309633447
Shift0,A,forward,C,B,2,diptip,5,/d/,exposure,labeled,5,8.94427190999916,0,5.458479687799881
Shift0,A,forward,C,B,2,diptip,5,/t/,exposure,unlabeled,50,16.431676725154983,45,23.861580529599056
Shift0,A,forward,C,B,2,diptip,6,/d/,exposure,labeled,5,8.94427190999916,5,-1.7025708543551028
Shift0,A,forward,C,B,2,diptip,6,/t/,exposure,labeled,50,16.431676725154983,60,64.78606508738419
Shift0,A,forward,C,B,2,diptip,7,/d/,exposure,labeled,5,8.94427190999916,20,-2.251698705432273
Shift0,A,forward,C,B,2,diptip,7,/t/,exposure,unlabeled,50,16.431676725154983,45,56.56612850694452
Shift0,A,forward,C,B,2,diptip,8,/d/,exposure,unlabeled,5,8.94427190999916,5,6.922306826219854
Shift0,A,forward,C,B,2,diptip,8,/t/,exposure,labeled,50,16.431676725154983,45,56.43553133082773
Shift0,A,forward,C,B,2,flare,1,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,C,B,2,flare,2,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,C,B,2,rare,1,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,C,B,2,rare,2,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,C,B,2,share,1,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,C,B,2,share,2,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,C,C,4,dilltill,1,/d/,exposure,unlabeled,5,8.94427190999916,5,6.432930356042059
Shift0,A,forward,C,C,4,dilltill,1,/t/,exposure,labeled,50,16.431676725154983,50,32.905602061691994
Shift0,A,forward,C,C,4,dilltill,2,/d/,exposure,labeled,5,8.94427190999916,20,0.8662051815092671
Shift0,A,forward,C,C,4,dilltill,2,/t/,exposure,unlabeled,50,16.431676725154983,45,58.20471526967313
Shift0,A,forward,C,C,4,dilltill,3,/d/,exposure,unlabeled,5,8.94427190999916,-15,-3.5070392094091982
Shift0,A,forward,C,C,4,dilltill,3,/t/,exposure,unlabeled,50,16.431676725154983,55,60.06914341243351
Shift0,A,forward,C,C,4,dilltill,4,/d/,exposure,labeled,5,8.94427190999916,-5,8.368679930035375
Shift0,A,forward,C,C,4,dilltill,4,/t/,exposure,unlabeled,50,16.431676725154983,85,49.83698811963935
Shift0,A,forward,C,C,4,dilltill,5,/d/,exposure,unlabeled,5,8.94427190999916,5,14.621594619481474
Shift0,A,forward,C,C,4,dilltill,5,/t/,exposure,unlabeled,50,16.431676725154983,35,57.9630492700627
Shift0,A,forward,C,C,4,dilltill,6,/d/,exposure,labeled,5,8.94427190999916,-5,0.7655117556394933
Shift0,A,forward,C,C,4,dilltill,6,/t/,exposure,labeled,50,16.431676725154983,70,40.13894111985245
Shift0,A,forward,C,C,4,dilltill,7,/d/,exposure,unlabeled,5,8.94427190999916,15,1.9600826560507123
Shift0,A,forward,C,C,4,dilltill,7,/t/,exposure,labeled,50,16.431676725154983,25,55.14295258741764
Shift0,A,forward,C,C,4,dilltill,8,/d/,exposure,labeled,5,8.94427190999916,5,4.228899387342696
Shift0,A,forward,C,C,4,dilltill,8,/t/,exposure,labeled,50,16.431676725154983,60,48.119437639006094
Shift0,A,forward,C,C,4,dintin,1,/d/,exposure,labeled,5,8.94427190999916,10,3.091222371082905
Shift0,A,forward,C,C,4,dintin,1,/t/,exposure,unlabeled,50,16.431676725154983,30,49.315298119393304
Shift0,A,forward,C,C,4,dintin,2,/d/,exposure,unlabeled,5,8.94427190999916,10,5.647276472485789
Shift0,A,forward,C,C,4,dintin,2,/t/,exposure,labeled,50,16.431676725154983,50,61.74159265949403
Shift0,A,forward,C,C,4,dintin,3,/d/,exposure,labeled,5,8.94427190999916,-5,0.8689702545052373
Shift0,A,forward,C,C,4,dintin,3,/t/,exposure,labeled,50,16.431676725154983,55,47.085121454483684
Shift0,A,forward,C,C,4,dintin,4,/d/,exposure,labeled,5,8.94427190999916,10,-0.04974035909354768
Shift0,A,forward,C,C,4,dintin,4,/t/,exposure,labeled,50,16.431676725154983,35,51.66297344901941
Shift0,A,forward,C,C,4,dintin,5,/d/,exposure,labeled,5,8.94427190999916,5,3.602773642530904
Shift0,A,forward,C,C,4,dintin,5,/t/,exposure,unlabeled,50,16.431676725154983,50,63.47682822525032
Shift0,A,forward,C,C,4,dintin,6,/d/,exposure,unlabeled,5,8.94427190999916,10,-20.506983462623502
Shift0,A,forward,C,C,4,dintin,6,/t/,exposure,unlabeled,50,16.431676725154983,70,79.76400582294274
Shift0,A,forward,C,C,4,dintin,7,/d/,exposure,unlabeled,5,8.94427190999916,5,0.8280068300495591
Shift0,A,forward,C,C,4,dintin,7,/t/,exposure,unlabeled,50,16.431676725154983,50,81.18063797578276
Shift0,A,forward,C,C,4,dintin,8,/d/,exposure,unlabeled,5,8.94427190999916,0,4.562823948122791
Shift0,A,forward,C,C,4,dintin,8,/t/,exposure,labeled,50,16.431676725154983,30,56.469018301078954
Shift0,A,forward,C,C,4,diptip,1,/d/,exposure,labeled,5,8.94427190999916,-5,3.00160832757218
Shift0,A,forward,C,C,4,diptip,1,/t/,exposure,unlabeled,50,16.431676725154983,40,51.24320187923121
Shift0,A,forward,C,C,4,diptip,2,/d/,exposure,unlabeled,5,8.94427190999916,0,14.099132458029862
Shift0,A,forward,C,C,4,diptip,2,/t/,exposure,labeled,50,16.431676725154983,70,62.92893647048919
Shift0,A,forward,C,C,4,diptip,3,/d/,exposure,unlabeled,5,8.94427190999916,-20,25.21763672060381
Shift0,A,forward,C,C,4,diptip,3,/t/,exposure,unlabeled,50,16.431676725154983,45,31.215354272806053
Shift0,A,forward,C,C,4,diptip,4,/d/,exposure,unlabeled,5,8.94427190999916,10,3.7728561451707616
Shift0,A,forward,C,C,4,diptip,4,/t/,exposure,labeled,50,16.431676725154983,30,30.199334131464457
Shift0,A,forward,C,C,4,diptip,5,/d/,exposure,labeled,5,8.94427190999916,5,2.2642443779156087
Shift0,A,forward,C,C,4,diptip,5,/t/,exposure,labeled,50,16.431676725154983,40,58.28556297879289
Shift0,A,forward,C,C,4,diptip,6,/d/,exposure,unlabeled,5,8.94427190999916,-5,12.259322045886268
Shift0,A,forward,C,C,4,diptip,6,/t/,exposure,unlabeled,50,16.431676725154983,50,41.76753239986752
Shift0,A,forward,C,C,4,diptip,7,/d/,exposure,labeled,5,8.94427190999916,10,-12.233586780857852
Shift0,A,forward,C,C,4,diptip,7,/t/,exposure,labeled,50,16.431676725154983,55,49.832223249699574
Shift0,A,forward,C,C,4,diptip,8,/d/,exposure,labeled,5,8.94427190999916,0,16.213727347547493
Shift0,A,forward,C,C,4,diptip,8,/t/,exposure,unlabeled,50,16.431676725154983,65,56.49837052068382
Shift0,A,forward,C,C,4,flare,1,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,C,C,4,flare,2,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,C,C,4,rare,1,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,C,C,4,rare,2,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,C,C,4,share,1,NA,exposure,NA,NA,NA,NA,NA
Shift0,A,forward,C,C,4,share,2,NA,exposure,NA,NA,NA,NA,NA
Shift10,A,backward,A,A,2,dilltill,1,/d/,exposure,unlabeled,5,8.94427190999916,25,-3.9916414961449185
Shift10,A,backward,A,A,2,dilltill,1,/t/,exposure,unlabeled,50,16.431676725154983,75,36.91232812361658
Shift10,A,backward,A,A,2,dilltill,2,/d/,exposure,labeled,5,8.94427190999916,5,41.10934587209972
Shift10,A,backward,A,A,2,dilltill,2,/t/,exposure,labeled,50,16.431676725154983,85,69.07727549211941
Shift10,A,backward,A,A,2,dilltill,3,/d/,exposure,unlabeled,5,8.94427190999916,15,6.813558138753878
Shift10,A,backward,A,A,2,dilltill,3,/t/,exposure,labeled,50,16.431676725154983,55,44.7404472382856
Shift10,A,backward,A,A,2,dilltill,4,/d/,exposure,labeled,5,8.94427190999916,15,12.10594112264301
Shift10,A,backward,A,A,2,dilltill,4,/t/,exposure,unlabeled,50,16.431676725154983,70,70.43536763905219
Shift10,A,backward,A,A,2,dilltill,5,/d/,exposure,labeled,5,8.94427190999916,5,-0.23236688578178555
Shift10,A,backward,A,A,2,dilltill,5,/t/,exposure,labeled,50,16.431676725154983,75,15.611739979691137
Shift10,A,backward,A,A,2,dilltill,6,/d/,exposure,unlabeled,5,8.94427190999916,5,8.134478689793667
Shift10,A,backward,A,A,2,dilltill,6,/t/,exposure,labeled,50,16.431676725154983,65,57.47640032986096
Shift10,A,backward,A,A,2,dilltill,7,/d/,exposure,unlabeled,5,8.94427190999916,5,4.619449770485754
Shift10,A,backward,A,A,2,dilltill,7,/t/,exposure,unlabeled,50,16.431676725154983,60,71.84355397314312
Shift10,A,backward,A,A,2,dilltill,8,/d/,exposure,labeled,5,8.94427190999916,25,3.178186923084908
Shift10,A,backward,A,A,2,dilltill,8,/t/,exposure,unlabeled,50,16.431676725154983,70,49.2597940786704
Shift10,A,backward,A,A,2,dintin,1,/d/,exposure,unlabeled,5,8.94427190999916,20,8.750601076708229
Shift10,A,backward,A,A,2,dintin,1,/t/,exposure,unlabeled,50,16.431676725154983,55,38.81387146504745
Shift10,A,backward,A,A,2,dintin,2,/d/,exposure,labeled,5,8.94427190999916,15,1.6777521388232715
Shift10,A,backward,A,A,2,dintin,2,/t/,exposure,unlabeled,50,16.431676725154983,60,49.89773789883382
Shift10,A,backward,A,A,2,dintin,3,/d/,exposure,unlabeled,5,8.94427190999916,10,2.9577250755648787
Shift10,A,backward,A,A,2,dintin,3,/t/,exposure,labeled,50,16.431676725154983,85,55.10662382891776
Shift10,A,backward,A,A,2,dintin,4,/d/,exposure,unlabeled,5,8.94427190999916,15,8.922697789613698
Shift10,A,backward,A,A,2,dintin,4,/t/,exposure,unlabeled,50,16.431676725154983,50,56.71940657661807
Shift10,A,backward,A,A,2,dintin,5,/d/,exposure,labeled,5,8.94427190999916,15,21.10571394973034
Shift10,A,backward,A,A,2,dintin,5,/t/,exposure,labeled,50,16.431676725154983,70,51.992125575666265
Shift10,A,backward,A,A,2,dintin,6,/d/,exposure,labeled,5,8.94427190999916,10,3.568128416502333
Shift10,A,backward,A,A,2,dintin,6,/t/,exposure,unlabeled,50,16.431676725154983,55,39.96780346428473
Shift10,A,backward,A,A,2,dintin,7,/d/,exposure,labeled,5,8.94427190999916,10,0.8018912925376007
Shift10,A,backward,A,A,2,dintin,7,/t/,exposure,labeled,50,16.431676725154983,80,40.774954468456556
Shift10,A,backward,A,A,2,dintin,8,/d/,exposure,unlabeled,5,8.94427190999916,15,23.954236410914163
Shift10,A,backward,A,A,2,dintin,8,/t/,exposure,labeled,50,16.431676725154983,50,43.26988160828766
Shift10,A,backward,A,A,2,diptip,1,/d/,exposure,labeled,5,8.94427190999916,30,9.007451744586518
Shift10,A,backward,A,A,2,diptip,1,/t/,exposure,unlabeled,50,16.431676725154983,30,37.35538877168388
